Date,GOOGL,TSLA,FB,AMZN,AAPL,MSFT,VOD,ADBE,NVDA,CRM
2015-01-02,26.477500915527344,14.620667457580566,,15.425999641418457,24.64401626586914,40.92644500732422,21.94137954711914,72.33999633789062,4.836187362670898,59.2400016784668
2015-01-05,25.972999572753906,14.005999565124512,,15.10949993133545,23.949756622314453,40.550079345703125,21.167665481567383,71.9800033569336,4.75450325012207,58.16999816894531
2015-01-06,25.332000732421875,14.085332870483398,,14.76449966430664,23.952014923095703,39.954925537109375,21.032262802124023,70.52999877929688,4.610353469848633,57.20000076293945
2015-01-07,25.25749969482422,14.063332557678223,,14.920999526977539,24.287872314453125,40.462562561035156,21.174110412597656,71.11000061035156,4.59834098815918,56.93000030517578
2015-01-08,25.345500946044922,14.041333198547363,,15.02299976348877,25.221065521240234,41.65290069580078,21.91559410095215,72.91999816894531,4.771319389343262,58.59000015258789
2015-01-09,25.035999298095703,13.77733325958252,,14.846500396728516,25.24811363220215,41.302791595458984,21.928483963012695,71.83999633789062,4.790539741516113,58.15999984741211
2015-01-12,24.85300064086914,13.480667114257812,,14.570500373840332,24.6259822845459,40.78641128540039,22.12836456298828,71.12000274658203,4.730478286743164,57.72999954223633
2015-01-13,25.09000015258789,13.616666793823242,,14.737000465393066,24.844633102416992,40.57634735107422,22.237974166870117,70.58999633789062,4.723268985748291,57.970001220703125
2015-01-14,25.296499252319336,12.845999717712402,,14.66349983215332,24.749958038330078,40.22624206542969,22.186391830444336,69.98999786376953,4.742488861083984,57.25
2015-01-15,25.20050048828125,12.791333198547363,,14.34749984741211,24.078235626220703,39.80613708496094,22.12836456298828,70.29000091552734,4.708855628967285,55.11000061035156
2015-01-16,25.523000717163086,12.871333122253418,,14.536999702453613,23.89114761352539,40.471317291259766,22.30245590209961,71.7300033569336,4.79534387588501,56.63999938964844
2015-01-20,25.496999740600586,12.795332908630371,,14.472000122070312,24.506521224975586,40.602596282958984,22.579700469970703,71.48999786376953,4.809759616851807,57.290000915527344
2015-01-21,26.019500732421875,13.104666709899902,,14.862500190734863,24.693605422973633,40.19124984741211,23.230911254882812,71.54000091552734,4.87702751159668,57.709999084472656
2015-01-22,26.864999771118164,13.441332817077637,,15.515999794006348,25.336021423339844,41.25028991699219,23.218019485473633,73.4800033569336,4.961114883422852,58.0
2015-01-23,27.09749984741211,13.419333457946777,,15.619500160217285,25.466764450073242,41.2940559387207,23.166439056396484,74.05999755859375,4.975529670715332,58.619998931884766
2015-01-26,26.836000442504883,13.770000457763672,,15.482999801635742,25.493810653686523,41.145259857177734,23.218019485473633,72.73999786376953,4.953907489776611,59.779998779296875
2015-01-27,26.059499740600586,13.732000350952148,,15.337499618530273,24.601192474365234,37.33794021606445,23.153539657592773,71.45999908447266,4.716063022613525,57.790000915527344
2015-01-28,25.62150001525879,13.291333198547363,,15.195500373840332,25.991968154907227,36.05133056640625,22.91497802734375,70.25,4.63918399810791,56.349998474121094
2015-01-29,25.661500930786133,13.680000305175781,,15.58899974822998,26.801185607910156,36.76903533935547,23.17288589477539,71.63999938964844,4.752099990844727,58.099998474121094
2015-01-30,26.877500534057617,13.573332786560059,,17.726499557495117,26.408971786499023,35.35988998413086,22.650625228881836,70.12999725341797,4.612756252288818,56.45000076293945
2015-02-02,26.610000610351562,14.062666893005371,,18.223499298095703,26.740320205688477,36.13010025024414,22.682865142822266,71.11000061035156,4.713660717010498,57.279998779296875
2015-02-03,26.665000915527344,14.557332992553711,,18.177499771118164,26.74483299255371,36.410179138183594,23.153539657592773,71.91999816894531,4.8313822746276855,58.61000061035156
2015-02-04,26.30500030517578,14.569999694824219,,18.237499237060547,26.949954986572266,36.6202507019043,23.05038070678711,72.27999877929688,4.843392372131348,58.9900016784668
2015-02-05,26.491500854492188,14.732666969299316,,18.694499969482422,27.142318725585938,37.15414047241211,22.682865142822266,73.0999984741211,4.922674655914307,59.2599983215332
2015-02-06,26.694000244140625,14.490667343139648,,18.714000701904297,26.913747787475586,37.1191291809082,22.624832153320312,72.54000091552734,4.901052951812744,59.16999816894531
2015-02-09,26.464000701904297,14.498666763305664,,18.527999877929688,27.092527389526367,37.07536697387695,22.373374938964844,72.33000183105469,4.896246910095215,57.97999954223633
2015-02-10,27.007999420166016,14.419333457946777,,18.649999618530273,27.61301040649414,37.28541946411133,22.72154998779297,72.76000213623047,5.033190727233887,58.790000915527344
2015-02-11,26.899999618530273,14.186667442321777,,18.756999969482422,28.260229110717773,37.09287643432617,22.586149215698242,73.01000213623047,4.9995551109313965,58.79999923706055
2015-02-12,27.300500869750977,13.525333404541016,,18.85849952697754,28.617780685424805,37.71430587768555,23.024587631225586,74.58999633789062,5.357523441314697,61.2599983215332
2015-02-13,27.558000564575195,13.584667205810547,,19.09149932861328,28.758089065551758,38.3969841003418,23.11485481262207,76.51000213623047,5.359925746917725,62.849998474121094
2015-02-17,27.250499725341797,13.623332977294922,,18.771499633789062,28.927814483642578,38.414608001708984,22.86984634399414,77.12999725341797,5.376743316650391,62.06999969482422
2015-02-18,27.13249969482422,13.630666732788086,,18.668500900268555,29.12921905517578,38.37052917480469,22.470090866088867,77.7300033569336,5.314279079437256,63.0
2015-02-19,27.322500228881836,14.11400032043457,,18.950000762939453,29.068113327026367,38.3441047668457,22.70865249633789,77.7300033569336,5.328693389892578,62.810001373291016
2015-02-20,27.09000015258789,14.473999977111816,,19.183000564575195,29.305727005004883,38.66142272949219,23.153539657592773,78.55000305175781,5.367135047912598,63.7400016784668
2015-02-23,26.75,13.822667121887207,,19.006999969482422,30.0977840423584,38.91705322265625,23.198673248291016,78.0999984741211,5.32388973236084,62.58000183105469
